latitude,longitude,treeid,name,groupuni,groupclust,cluster,strategy,d1,d2,d3,d4,d5
52.359584000,4.948311000,185,T185,,,0,0,0,0,0,0,0
52.359514000,4.948357000,186,T186,,,0,0,0,0,0,0,0
52.359478000,4.948727000,187,T187,3b,,0,3b,0,0,1,1,0
52.359263000,4.948273000,188,T188,4e,,0,4e,0,0,0,0,1
52.359178000,4.948227000,189,T189,4d,,0,4d,0,0,0,1,0
52.359072000,4.948354000,190,T190,4b,,0,4b,0,1,0,0,0
52.358986000,4.948271000,191,T191,,,0,0,0,0,0,0,0
52.358910000,4.948179000,192,T192,,,0,0,0,0,0,0,0
52.358953000,4.948130000,193,T193,4c,,0,4c,0,0,1,0,0
52.358971000,4.948070000,194,T194,3a,,0,3a,1,1,0,0,0
52.358958000,4.947878000,195,T195,,,0,0,0,0,0,0,0
52.358989000,4.947517000,196,T196,,,0,0,0,0,0,0,0
52.358946000,4.947569000,197,T197,,,0,0,0,0,0,0,0
52.358593000,4.947768000,198,T198,4a,,0,4a,1,0,0,0,0
52.358801000,4.948407000,200,T200,,,0,0,0,0,0,0,0
52.358887000,4.948286000,201,T201,,,0,0,0,0,0,0,0
52.359088000,4.948769000,202,T202,,,0,0,0,0,0,0,0
52.359166000,4.948757000,203,T203,3b,,0,3b,0,0,1,1,0
52.359290000,4.948788000,204,T204,4e,,0,4e,0,0,0,0,1
52.359304000,4.949175000,205,T205,,,0,0,0,0,0,0,0
52.359347000,4.949072000,206,T206,,,0,0,0,0,0,0,0
52.359448000,4.949360000,207,T207,4b,,0,4b,0,1,0,0,0
52.359767000,4.949950000,208,T208,,,0,0,0,0,0,0,0
52.360001000,4.950353000,209,T209,4e,,0,4e,0,0,0,0,1
52.359686000,4.949030000,210,T210,,,0,0,0,0,0,0,0
52.359774000,4.948991000,211,T211,,,0,0,0,0,0,0,0
52.359911000,4.948694000,212,T212,4e,,0,4e,0,0,0,0,1
52.360679000,4.951471000,61,T061,1,1,1,1,1,1,1,1,1
52.360023000,4.952028000,62,T062,,4e,1,4e,0,0,0,0,1
52.359888000,4.951837000,63,T063,,3a,1,3a,1,1,0,0,0
