x,y,lat,long
75,309,52.35979929874016,4.948063126818182
77,309,52.35979929874016,4.948077848333333
78,308,52.359807280944885,4.948085209090909
80,308,52.359807280944885,4.948099930606061
82,308,52.359807280944885,4.9481146521212125
84,308,52.359807280944885,4.948129373636363
85,307,52.359815263149606,4.948136734393939
87,307,52.359815263149606,4.948151455909091
89,307,52.359815263149606,4.948166177424242
91,307,52.359815263149606,4.948180898939394
93,307,52.359815263149606,4.948195620454546
95,307,52.359815263149606,4.948210341969697
97,307,52.359815263149606,4.948225063484848
