x,y,lat,long
70,344,52.3595199215748,4.948026323030303
72,344,52.3595199215748,4.948041044545454
74,344,52.3595199215748,4.948055766060606
76,344,52.3595199215748,4.948070487575758
78,344,52.3595199215748,4.948085209090909
80,344,52.3595199215748,4.948099930606061
82,344,52.3595199215748,4.9481146521212125
84,344,52.3595199215748,4.948129373636363
86,344,52.3595199215748,4.948144095151515
88,344,52.3595199215748,4.948158816666667
90,344,52.3595199215748,4.948173538181818
91,345,52.35951193937008,4.948180898939394
93,345,52.35951193937008,4.948195620454546
94,346,52.35950395716535,4.9482029812121215
96,346,52.35950395716535,4.9482177027272725
98,346,52.35950395716535,4.948232424242424
99,347,52.35949597496063,4.948239785
101,347,52.35949597496063,4.948254506515151
102,348,52.3594879927559,4.948261867272727
104,348,52.3594879927559,4.948276588787879
106,348,52.3594879927559,4.948291310303031
107,349,52.35948001055118,4.948298671060606
109,349,52.35948001055118,4.948313392575757
110,350,52.35947202834646,4.948320753333333
112,350,52.35947202834646,4.948335474848485
113,351,52.35946404614173,4.94834283560606
115,351,52.35946404614173,4.948357557121212
116,352,52.35945606393701,4.948364917878788
118,352,52.35945606393701,4.94837963939394
119,353,52.35944808173228,4.948387000151515
120,354,52.35944009952756,4.948394360909091
121,355,52.35943211732283,4.9484017216666665
123,355,52.35943211732283,4.948416443181818
124,356,52.35942413511811,4.948423803939394
125,357,52.35941615291338,4.94843116469697
127,357,52.35941615291338,4.948445886212121
128,358,52.35940817070866,4.948453246969697
