x,y,lat,long
686,360,52.35939220629921,4.95256054969697
687,359,52.35940018850393,4.952567910454545
689,359,52.35940018850393,4.952582631969697
690,358,52.35940817070866,4.9525899927272725
692,358,52.35940817070866,4.952604714242424
693,357,52.35941615291338,4.952612074999999
694,356,52.35942413511811,4.952619435757575
696,356,52.35942413511811,4.952634157272727
697,355,52.35943211732283,4.952641518030303
698,354,52.35944009952756,4.952648878787879
700,354,52.35944009952756,4.95266360030303
701,353,52.35944808173228,4.952670961060606
703,353,52.35944808173228,4.9526856825757575
704,352,52.35945606393701,4.952693043333333
705,351,52.35946404614173,4.952700404090908
706,350,52.35947202834646,4.952707764848484
707,349,52.35948001055118,4.95271512560606
708,348,52.3594879927559,4.952722486363636
709,347,52.35949597496063,4.952729847121212
708,346,52.35950395716535,4.952722486363636
707,345,52.35951193937008,4.95271512560606
705,345,52.35951193937008,4.952700404090908
703,345,52.35951193937008,4.9526856825757575
701,345,52.35951193937008,4.952670961060606
700,346,52.35950395716535,4.95266360030303
698,346,52.35950395716535,4.952648878787879
696,346,52.35950395716535,4.952634157272727
694,346,52.35950395716535,4.952619435757575
692,346,52.35950395716535,4.952604714242424
691,347,52.35949597496063,4.952597353484848
690,348,52.3594879927559,4.9525899927272725
688,348,52.3594879927559,4.952575271212121
687,349,52.35948001055118,4.952567910454545
685,349,52.35948001055118,4.952553188939394
683,349,52.35948001055118,4.952538467424242
682,350,52.35947202834646,4.952531106666666
680,350,52.35947202834646,4.952516385151515
678,350,52.35947202834646,4.9525016636363635
677,351,52.35946404614173,4.952494302878788
