x,y,lat,long
480,116,52.36133986425197,4.951044233636363
479,117,52.361331882047246,4.951036872878787
477,117,52.361331882047246,4.951022151363636
476,118,52.361323899842525,4.95101479060606
475,119,52.361315917637796,4.9510074298484845
474,120,52.361307935433075,4.951000069090909
473,121,52.36129995322835,4.950992708333333
472,122,52.361291971023626,4.950985347575758
471,123,52.3612839888189,4.950977986818182
470,124,52.361276006614176,4.950970626060606
469,125,52.36126802440945,4.95096326530303
470,126,52.36126004220473,4.950970626060606
469,127,52.36125206,4.95096326530303
468,128,52.36124407779528,4.950955904545454
467,129,52.361236095590556,4.950948543787878
468,130,52.36122811338583,4.950955904545454
467,131,52.361220131181106,4.950948543787878
466,132,52.36121214897638,4.950941183030303
465,133,52.36120416677166,4.950933822272727
464,134,52.36119618456693,4.950926461515151
463,135,52.36118820236221,4.9509191007575755
462,136,52.36118022015748,4.95091174
461,137,52.36117223795276,4.950904379242424
460,138,52.36116425574804,4.950897018484849
459,139,52.36115627354331,4.950889657727273
458,140,52.36114829133859,4.950882296969697
457,141,52.36114030913386,4.950874936212121
456,142,52.36113232692914,4.950867575454545
455,143,52.36112434472441,4.950860214696969
454,144,52.36111636251969,4.950852853939394
453,145,52.36110838031496,4.950845493181818
452,146,52.36110039811024,4.950838132424242
451,147,52.36109241590551,4.950830771666666
450,148,52.36108443370079,4.9508234109090905
449,149,52.36107645149607,4.950816050151515
448,150,52.36106846929134,4.95080868939394
447,151,52.36106048708662,4.950801328636364
446,152,52.36105250488189,4.950793967878788
445,153,52.36104452267717,4.950786607121212
444,154,52.36103654047244,4.950779246363636
443,155,52.36102855826772,4.95077188560606
442,156,52.36102057606299,4.950764524848485
441,157,52.36101259385827,4.950757164090909
440,158,52.36100461165354,4.950749803333333
439,159,52.36099662944882,4.950742442575757
438,160,52.3609886472441,4.9507350818181814
437,161,52.36098066503937,4.9507277210606055
436,162,52.36097268283465,4.9507203603030305
435,163,52.36096470062992,4.950712999545455
434,164,52.3609567184252,4.950705638787879
433,165,52.36094873622047,4.950698278030303
432,166,52.36094075401575,4.950690917272727
431,167,52.36093277181102,4.950683556515151
430,168,52.3609247896063,4.950676195757576
429,169,52.36091680740157,4.950668835
428,170,52.36090882519685,4.950661474242424
