x,y,lat,long
123,117,52.361331882047246,4.948416443181818
125,117,52.361331882047246,4.94843116469697
126,118,52.361323899842525,4.948438525454545
128,118,52.361323899842525,4.948453246969697
129,119,52.361315917637796,4.948460607727273
131,119,52.361315917637796,4.948475329242425
132,120,52.361307935433075,4.94848269
134,120,52.361307935433075,4.948497411515151
135,121,52.36129995322835,4.948504772272727
137,121,52.36129995322835,4.948519493787879
138,122,52.361291971023626,4.948526854545454
