x,y,lat,long
669,441,52.35874564771653,4.952435416818181
670,442,52.35873766551181,4.952442777575757
671,443,52.35872968330708,4.952450138333333
672,444,52.35872170110236,4.952457499090909
673,445,52.35871371889764,4.952464859848485
674,446,52.35870573669291,4.952472220606061
675,447,52.35869775448819,4.952479581363636
676,448,52.35868977228346,4.952486942121212
677,449,52.35868179007874,4.952494302878788
678,450,52.35867380787401,4.9525016636363635
679,451,52.35866582566929,4.952509024393939
680,452,52.35865784346456,4.952516385151515
681,453,52.35864986125984,4.95252374590909
680,454,52.358641879055114,4.952516385151515
679,455,52.35863389685039,4.952509024393939
680,456,52.35862591464567,4.952516385151515
679,457,52.35861793244094,4.952509024393939
680,458,52.35860995023622,4.952516385151515
681,459,52.35860196803149,4.95252374590909
682,460,52.35859398582677,4.952531106666666
683,461,52.358586003622044,4.952538467424242
682,462,52.35857802141732,4.952531106666666
683,463,52.358570039212594,4.952538467424242
684,464,52.35856205700787,4.952545828181818
685,465,52.358554074803145,4.952553188939394
686,466,52.358546092598424,4.95256054969697
685,467,52.3585381103937,4.952553188939394
684,468,52.358530128188974,4.952545828181818
685,469,52.35852214598425,4.952553188939394
684,470,52.358514163779525,4.952545828181818
685,471,52.3585061815748,4.952553188939394
686,472,52.358498199370075,4.95256054969697
687,473,52.358490217165354,4.952567910454545
688,474,52.358482234960626,4.952575271212121
689,475,52.358474252755904,4.952582631969697
688,476,52.358466270551176,4.952575271212121
689,477,52.358458288346455,4.952582631969697
690,478,52.358450306141734,4.9525899927272725
689,479,52.358442323937005,4.952582631969697
688,480,52.358434341732284,4.952575271212121
689,481,52.358426359527556,4.952582631969697
690,482,52.358418377322835,4.9525899927272725
689,483,52.358410395118106,4.952582631969697
690,484,52.358402412913385,4.9525899927272725
691,485,52.35839443070866,4.952597353484848
692,486,52.358386448503936,4.952604714242424
691,487,52.358378466299214,4.952597353484848
692,488,52.358370484094486,4.952604714242424
693,489,52.358362501889765,4.952612074999999
694,490,52.35835451968504,4.952619435757575
693,491,52.358346537480315,4.952612074999999
694,492,52.35833855527559,4.952619435757575
693,493,52.358330573070866,4.952612074999999
692,494,52.35832259086614,4.952604714242424
693,495,52.358314608661416,4.952612074999999
694,496,52.35830662645669,4.952619435757575
695,497,52.35829864425197,4.952626796515151
696,498,52.358290662047246,4.952634157272727
697,499,52.35828267984252,4.952641518030303
698,500,52.358274697637796,4.952648878787879
699,501,52.35826671543307,4.952656239545454
700,502,52.35825873322835,4.95266360030303
701,503,52.35825075102362,4.952670961060606
703,503,52.35825075102362,4.9526856825757575
704,504,52.3582427688189,4.952693043333333
705,505,52.35823478661417,4.952700404090908
706,506,52.35822680440945,4.952707764848484
707,507,52.35821882220472,4.95271512560606
